iter	Passed	Remaining
0	103	103016
1	105	52440
2	107	35616
3	113	28221
4	115	23054
5	117	19496
6	120	17092
7	123	15292
8	128	14105
9	130	12916
10	132	11902
11	134	11037
12	136	10376
13	140	9894
14	143	9424
15	145	8946
16	147	8511
17	149	8145
18	153	7946
19	156	7653
20	158	7383
21	160	7143
22	164	6995
23	167	6804
24	171	6679
25	173	6492
26	175	6310
27	177	6150
28	179	6022
29	183	5925
30	185	5790
31	187	5660
32	188	5537
33	190	5421
34	193	5335
35	196	5256
36	200	5216
37	202	5123
38	204	5032
39	206	4955
40	210	4915
41	213	4876
42	217	4833
43	219	4761
44	222	4714
45	224	4646
46	225	4582
47	228	4525
48	231	4493
49	234	4451
50	237	4412
51	239	4374
52	244	4367
53	246	4319
54	248	4269
55	250	4220
56	253	4194
57	257	4183
58	260	4151
59	262	4110
60	264	4068
61	266	4029
62	271	4032
63	273	4004
64	275	3964
65	277	3925
66	278	3882
67	280	3844
68	282	3812
69	285	3787
70	289	3787
71	291	3756
72	293	3723
73	294	3690
74	296	3658
75	299	3642
76	302	3623
77	303	3593
78	305	3563
79	307	3538
80	309	3506
81	310	3475
82	311	3443
83	314	3432
84	318	3425
85	320	3402
86	322	3379
87	324	3362
88	327	3348
89	329	3335
90	332	3317
91	335	3314
92	338	3302
93	340	3285
94	343	3268
95	346	3260
96	348	3241
97	349	3219
98	351	3197
99	352	3176
100	354	3156
101	356	3141
102	358	3124
103	361	3115
104	363	3096
105	365	3079
106	367	3064
107	369	3051
108	371	3036
109	374	3029
110	379	3036
111	381	3020
112	383	3008
113	385	2995
114	387	2982
115	389	2970
116	391	2955
117	393	2938
118	395	2924
119	396	2909
120	398	2896
121	400	2885
122	403	2874
123	405	2867
124	407	2854
125	409	2841
126	411	2827
127	413	2813
128	414	2800
129	417	2791
130	419	2784
131	422	2776
132	424	2765
133	426	2753
134	428	2742
135	430	2732
136	433	2727
137	437	2729
138	440	2730
139	442	2719
140	444	2708
141	446	2695
142	448	2686
143	451	2686
144	454	2678
145	456	2668
146	458	2658
147	460	2648
148	461	2638
149	464	2633
150	467	2630
151	470	2626
152	472	2616
153	474	2608
154	476	2597
155	478	2590
156	481	2587
157	486	2593
158	488	2583
159	490	2573
160	491	2560
161	493	2554
162	496	2547
163	499	2546
164	501	2538
165	504	2532
166	506	2524
167	508	2517
